"baseRank","teamName","confName","divName","GP","W","L","OTL","PTS","PTS_P","RW","ROW","GF","GA","DIFF","HOME","AWAY","SO","L10","STRK"
1,"Winnipeg","Western","Central",11,10,1,0,20,0.909,7,10,52,26,26,"4-1-0","6-0-0","0-0","9-1-0","W2"
2,"Florida","Eastern","Atlantic",12,8,3,1,17,0.708,7,8,44,39,5,"2-1-1","6-2-0","0-0","7-2-1","W4"
3,"Minnesota","Western","Central",10,7,1,2,16,0.8,7,7,39,27,12,"2-0-1","5-1-1","0-1","7-1-2","W2"
4,"New Jersey","Eastern","Metropolitan",14,7,5,2,16,0.571,7,7,50,42,8,"3-2-2","4-3-0","0-0","4-4-2","L1"
5,"NY Rangers","Eastern","Metropolitan",10,7,2,1,15,0.75,7,7,39,22,17,"3-1-1","4-1-0","0-0","7-2-1","W1"
6,"Vegas","Western","Pacific",11,7,3,1,15,0.682,7,7,50,34,16,"7-0-0","0-3-1","0-0","6-3-1","L1"
7,"Washington","Eastern","Metropolitan",9,7,2,0,14,0.778,6,7,37,27,10,"5-1-0","2-1-0","0-0","7-2-0","W2"
8,"Carolina","Eastern","Metropolitan",9,7,2,0,14,0.778,5,7,35,21,14,"2-1-0","5-1-0","0-0","7-2-0","W5"
9,"Dallas","Western","Central",10,7,3,0,14,0.7,6,6,33,23,10,"5-1-0","2-2-0","1-0","7-3-0","L1"
10,"Tampa Bay","Eastern","Atlantic",11,7,4,0,14,0.636,6,7,42,33,9,"4-1-0","3-3-0","0-0","6-4-0","L1"
11,"Los Angeles","Western","Pacific",11,6,3,2,14,0.636,6,6,36,36,0,"3-0-0","3-3-2","0-0","5-3-2","W1"
12,"Toronto","Eastern","Atlantic",11,6,4,1,13,0.591,6,6,36,33,3,"4-2-0","2-2-1","0-0","6-3-1","W2"
13,"Calgary","Western","Pacific",11,6,4,1,13,0.591,4,5,33,34,-1,"4-2-0","2-2-1","1-0","5-4-1","W1"
14,"Utah","Western","Central",11,5,4,2,12,0.545,2,5,34,38,-4,"3-2-1","2-2-1","0-0","4-4-2","W1"
15,"Vancouver","Western","Pacific",9,4,2,3,11,0.611,3,4,27,31,-4,"1-1-3","3-1-0","0-1","4-2-3","L1"
16,"Columbus","Eastern","Metropolitan",10,5,4,1,11,0.55,5,5,37,31,6,"4-3-0","1-1-1","0-0","5-4-1","L1"
17,"Edmonton","Western","Pacific",11,5,5,1,11,0.5,3,5,27,36,-9,"2-3-1","3-2-0","0-0","5-4-1","W1"
18,"Seattle","Western","Pacific",11,5,5,1,11,0.5,3,4,37,34,3,"2-3-1","3-2-0","1-0","5-4-1","L1"
19,"Ottawa","Eastern","Atlantic",10,5,5,0,10,0.5,4,5,39,33,6,"4-1-0","1-4-0","0-0","5-5-0","L1"
20,"Anaheim","Western","Pacific",10,4,4,2,10,0.5,3,4,22,27,-5,"2-1-0","2-3-2","0-0","4-4-2","OT1"
21,"Colorado","Western","Central",11,5,6,0,10,0.455,4,5,38,46,-8,"2-5-0","3-1-0","0-0","5-5-0","L2"
22,"St. Louis","Western","Central",11,5,6,0,10,0.455,3,5,28,36,-8,"2-2-0","3-4-0","0-0","4-6-0","L3"
23,"NY Islanders","Eastern","Metropolitan",11,4,5,2,10,0.455,2,3,26,32,-6,"1-3-1","3-2-1","1-0","4-5-1","W1"
24,"Detroit","Eastern","Atlantic",10,4,5,1,9,0.45,4,4,27,34,-7,"2-3-1","2-2-0","0-0","4-5-1","L1"
25,"Buffalo","Eastern","Atlantic",11,4,6,1,9,0.409,4,4,35,40,-5,"3-4-0","1-2-1","0-0","4-5-1","L2"
26,"Montréal","Eastern","Atlantic",11,4,6,1,9,0.409,4,4,32,47,-15,"3-4-0","1-2-1","0-1","3-6-1","L2"
27,"Philadelphia","Eastern","Metropolitan",11,4,6,1,9,0.409,3,3,31,41,-10,"2-3-0","2-3-1","1-0","3-6-1","W2"
28,"Boston","Eastern","Atlantic",11,4,6,1,9,0.409,2,4,29,42,-13,"3-3-0","1-3-1","0-0","4-5-1","L2"
29,"Pittsburgh","Eastern","Metropolitan",12,4,7,1,9,0.375,2,4,35,49,-14,"2-3-0","2-4-1","0-1","3-6-1","W1"
30,"San Jose","Western","Pacific",12,3,7,2,8,0.333,2,3,30,47,-17,"2-2-1","1-5-1","0-1","3-6-1","W3"
31,"Nashville","Western","Central",10,3,6,1,7,0.35,2,3,24,36,-12,"2-5-0","1-1-1","0-0","3-6-1","L1"
32,"Chicago","Western","Central",11,3,7,1,7,0.318,3,3,29,36,-7,"1-3-0","2-4-1","0-0","3-6-1","L1"
